unit,sex,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
NR,F,Y_GE75,DE	5563746 	5421753 	5255707 	5064736 	4920101 	4794523 	4668704 b	4614112 	4527946 	4516759 	4491629 	4454004 	4394150 	4329506 	4276451 	4228909 	4159674 	4079989 	4011236 	3945331 	3858094 	3750806 	3636954 	3628493 	3739664 	3856065 	3960428 	3230965 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,DE_TOT	5563746 	5421753 	5255707 	5064736 	4920101 	4794523 	4668704 b	4614112 	4527946 	4516759 	4491629 	4454004 	4394150 	4329506 	4276451 	4228909 	4159674 	4079989 	4011236 	3945331 	3858094 	3750806 	3636954 	3628493 	3739664 	3856065 	3960428 	3988280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,DK	261886 	256056 	250724 	246105 	242316 	238854 	236604 	235712 	235357 	235525 	236033 	236625 	236843 	237296 	237968 	239365 	239746 	239064 	238454 	236531 	235711 	233414 	230955 	230865 	230548 	229525 	227738 	226198 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,EA18	20505106 bp	20255885 p	19924143 b	19534921 	19158496 	18843869 	18495281 b	18179547 	17837057 	17558576 	17226496 	16857434 	16444319 	16045832 	15721221 	15384920 	14984377 	14588483 	14227146 	13866511 	13425339 	13006689 	12571392 	12510367 	12673758 	12841273 	12976292 	12914833 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,EA19	20699117 bp	20447876 p	20114868 b	19723070 	19343770 	19025614 	18672589 b	18353461 	18007696 	17725261 	17388112 	17014898 	16596843 	16193308 	15860509 	15517201 	15109679 	14712398 	14346376 	13981610 	13537208 	13116645 	12680653 	12620887 	12787823 	12958595 	13095511 	13035714 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,EE	89955 	87583 	85969 b	83744 	81482 	78604 	76480 	74850 	73750 	72620 	70430 	68390 	66360 	64380 	62250 	60580 	58580 	56780 	53780 	52552 	51235 	50464 	51256 	52525 	53765 	56214 	58133 	59030 	: 	58320 	57506 	56504 	55784 	55127 	54116 	52994 	52052 	51220 	: 	49514 	48372 	47638 	46103 	44905 	43623 	42714 	41555 	40598 	40392 	39635 	38614 	37821 	36788 	35610 	34186 	33883 	32856 	31695 
NR,F,Y_GE75,EEA30	28998809 bp	28678238 ep	28269043 be	27769846 e	27282379 	26867814 	26437629 b	26047341 	25634250 	25197306 	24694446 	24232253 	23622182 	23133171 	22720828 	22298701 	21762943 	21233699 	20744131 	20247802 	19663554 	19121718 	18542915 	18427336 	18700924 	18973508 	19153154 	19085930 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,EEA31	29245137 bp	28923063 ep	28512071 be	28009268 e	27517387 	27098248 	26663063 b	26267875 	25849663 	25406462 	24897160 	24427708 	23810515 	23314820 	22896840 	22469263 	21926312 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,EFTA	654665 	644916 	638067 	630108 	624278 	620823 	615509 	616653 	612593 	608255 	602675 	596763 	589871 	583705 	579109 	575507 	564181 	557605 	550702 	542501 	534789 	524650 	513691 	508556 	504445 	499066 	494008 	487865 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,EL	689686 	686572 	681220 	667880 	651415 	636530 	617974 	599259 	579994 	561478 	544335 	526018 	508250 	491028 	475394 	460198 	432757 	409894 	397056 	393480 	380115 	376531 	368430 	366087 	359644 	357912 	355807 	346132 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,ES	2663579 	2651871 	2609376 	2619173 	2606488 	2577121 	2511254 	2446766 	2382149 	2309744 	2234641 	2162659 	2092248 	2023444 	1960060 	1899670 	1835800 	1780451 	1730271 	1679889 	1620018 	1574015 	1525074 	1493109 	1457669 	1423734 	1394383 	1361485 	1323315 	1284851 	1240045 	1201911 	1157468 	1115642 	1075950 	1032753 	993081 	946496 	905834 	868072 	830591 	805461 	757095 	747983 	731660 	714143 	694793 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,EU27	28768270 bp	28449053 ep	28041506 be	27543872 e	27056991 	26641627 	26210602 b	25819084 	25404464 	24966053 	24462658 	24000108 	23390741 	22901952 	22489839 	22067300 	21532623 	21004291 	20516505 	20023228 	19442414 	18905094 	18331922 	18219043 	18495480 	18772260 	18955312 	18891153 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,EU28	29014598 bp	28693878 ep	28284534 be	27783294 e	27291999 	26872061 	26436036 b	26039618 	25619877 	25175209 	24665372 	24195563 	23579074 	23083601 	22665851 	22237862 	21695992 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,FI	307657 	298392 	296983 	291661 	286632 	282680 	279166 	275569 	272074 	269697 	265481 	260389 	253734 	247156 	242318 	238562 	233869 	229054 	224642 	218944 	214486 	209534 	204152 	204199 	202398 	199524 	197127 	194133 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,FR	3761190 p	3770318 p	3766370 b	3731558 	3695170 	3663508 	3621839 	3569562 	3512005 	3450968 	3372491 	3289133 	3188790 	3093392 	3020782 	2943025 	2860765 	2779667 	2705198 	2630894 	2552301 	2463894 	2369190 	2376206 	2411900 	2459329 	2516944 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,FX	: 	: 	: 	: 	3634407 	3604524 	3564568 	3515694 	3459967 	3400540 	3323482 	3241456 	3143680 	3049722 	2978569 	2902377 	2821419 	2741883 	2669619 	2596812 	2519611 	2432427 	2339194 	2347324 	2384130 	2432609 	2491308 	2521030 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,GE	168700 	168700 	169900 	205189 	: 	187414 	180652 	174763 	169734 	164646 	155817 	152012 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,HR	246328 	244825 	243028 	239422 	235008 	230434 	225434 	220534 	215413 	209156 	202714 	195455 	188333 	181649 	176012 	170562 	163369 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,HU	524240 	517807 	511633 	505742 	500426 	496282 	501434 	496608 	490405 	482646 	474094 	465497 	455363 	445560 	435380 	426068 	413672 	398899 	390544 	377455 	361823 	349070 	335533 	328427 	341892 	356184 	369894 	376704 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,IE	153736 	149933 	146836 	143388 	140425 	138223 	135605 	132657 	129991 	127989 	125991 	124119 	123107 	121161 	119490 	117747 	115758 	114051 	112715 	111110 	108855 	107122 	104868 	102878 	101702 	100491 	98775 	96745 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,IS	11330 	11204 	11112 	10973 	10926 	10837 	10687 	10525 	10382 	10278 	10065 	9810 	9474 	9191 	8991 	8762 	8427 	8286 	8166 	7949 	7740 	7559 	7437 	7297 	7187 	7045 	6906 	6755 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,IT	4192307 	4145306 	4085561 	3999916 	3886328 	3812974 	3767756 	3697120 	3630140 	3562590 	3489193 	3394293 	3294421 	3201663 	3132205 	3044076 	2950086 	2855907 	2766417 	2671515 	2568613 	2461140 	2353354 	2347862 	2384415 	2409548 	2396795 	2330646 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,LI	1511 	1436 	1370 	1359 	1306 	1263 	1246 	1232 	1196 	1150 	1132 	1140 	1142 	1112 	1103 	1065 	1023 	1002 	949 	906 	873 	834 	942 	847 	790 	777 	756 	747 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,LT	194011 	191991 	190725 	188149 	185274 	181745 	177308 	173914 	170639 	166685 	161616 	157464 	152524 	147476 	139288 	132281 	125302 	123915 	119230 	115099 	111869 	109956 	109261 	110520 	114065 	117322 	119219 	120881 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,LU	23589 b	23383 	22995 	22342 	21880 	21656 	21198 	20875 	20496 	20202 	19875 	19425 	18843 	18203 	17921 	17349 	16887 	17467 	17043 	16586 	16258 	15901 	15330 	15246 	15417 	15572 	15640 	15369 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,LV	137662 	135341 	132931 	129739 	126680 	123812 	121188 	119547 	118637 	117172 	115206 	112896 	109958 	108000 	104992 	101775 	98864 	95662 	92432 	89772 	87744 	87175 	88392 	90983 	93437 	97552 	103290 	104485 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,MD	103774 	: 	101287 	100505 	98726 	96737 	95210 	94626 	93923 	94134 	92838 	84840 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,ME	22733 	22099 	21618 	20888 	20142 	19567 	18885 	17812 	17151 	16571 	16145 	15738 	15265 	14799 	14936 	14881 	14643 	14756 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,MK	59485 	58761 	57632 	56725 	55614 	54611 	52951 	50951 	48982 	46951 	45280 	43660 	41540 	40061 	38544 	38255 	36044 	34513 	32502 	30593 	28646 	27385 	25695 	24941 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,MT	20057 	19708 	19254 	18621 	18006 	17403 	16800 	16197 	15751 	15193 	14562 	14063 	13295 	12924 	12699 	12208 	11796 	11173 	10798 	10569 	10142 	9251 	8736 	8524 	8433 	8412 	8468 b	8339 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,NL	786306 	776295 	763915 	749949 	738213 	729817 	719447 	710098 	700077 	691965 	680519 	671566 	661064 	652439 	645175 	640364 	633300 	625624 	616047 	603949 	592891 	580385 	566367 	560107 	556879 	548484 	540226 	531230 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,NO	217698 	216545 	215055 	213642 	213156 	214087 	215094 	216500 	218208 	219825 	220591 	221195 	220825 	220916 	220895 	221574 	220870 	220120 	218511 	215719 	212527 	208231 	202614 	200149 	197467 	193426 	190180 	187275 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,PL	1808884 	1795373 	1777829 	1749542 	1723217 	1691399 	1651930 	1614408 	1576460 	1540101 	1492262 	1439748 	1380564 	1327210 	1277228 	1231171 	1183074 	1127585 	1078532 	1033453 	994831 	979241 	960837 	958233 	983754 	1012178 	1036861 	1049501 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,PT	654969 	648233 	639904 	627908 	616301 	605095 	588218 	564918 	550161 	534205 	517620 	501010 	486916 	473766 	462507 	451513 	437703 	420702 	407923 	394962 	383223 	372406 	358977 	350618 	347729 	340847 	335008 	330359 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,RO	999811 	994822 	986710 e	965197 e	939208 	914941 	911750 	914878 	920210 	828899 	747105 	750375 	663093 	664864 	665056 	661525 	639025 	612256 	588226 	565944 	543715 	527512 	515959 	505443 	534248 	565017 	564139 	564830 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,RS	353256 	352815 	350867 	347651 	342632 	336924 	330852 	328022 	320466 	311351 	299926 	291771 	280222 	268701 	256520 	244462 	230361 	219307 	206974 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,RU	: 	: 	: 	6497473 	: 	: 	5716373 	5634789 	5680830 	5748850 	5673023 	5619549 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,SE	498582 	492600 	488575 	483305 	480330 	480105 	479557 	480878 	482096 	484936 	486752 	487305 	486565 	486486 	485640 	486844 	486026 	483548 	480727 	475815 	469706 	460248 	447373 	441658 	438067 	431951 	425867 	419777 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,SI	116675 	115046 	113288 	111247 	109398 	107807 	105409 	103113 	100565 	97622 	94205 	90760 	87243 	84096 	80887 	77494 	73738 	70329 	66971 	63933 	61262 	58844 	57028 	56575 	58432 	60652 	62860 	63615 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,SK	214151 	209411 	205434 	201432 	198143 	196373 	194472 	192382 	189874 	186718 	182748 	178458 	174288 	169546 	164893 	160169 	155953 	154031 	148570 	141244 	134827 	127612 	123894 	120255 	125435 	130757 	140427 	142668 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,SM	: 	: 	: 	: 	1722 	1700 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,TR	1534667 	1507854 	1450920 	1402774 	1351351 	1299475 	1250373 	1203154 	1136990 	1188818 	1133000 	1099000 	1070000 	1052000 	1038000 	1028000 	1019000 b	602530 	585066 	560568 	535071 	508574 	479088 	446590 	413093 	379590 	346093 	492710 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,UA	2328952 	2286183 	2236742 	2282595 	2187145 	2075169 	2019690 	2014218 	2055192 	2119113 	2132256 	2136190 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,UK	3102875 	3085354 e	3061347 e	3027950 	2990786 	2960429 	2929878 	2903083 	2885265 	2875042 	2861088 	2842961 	2827076 	2818221 	2815173 	2809582 	2794485 	2779037 	2768317 	2749347 	2719846 	2679432 	2619804 	2597077 	2621018 	2633001 	2625160 	2603067 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE75,XK	32756 	25563 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE80,AD	: 	: 	: 	: 	1758 	1763 	1763 	1892 	1793 	1700 	1564 	1463 	1467 	1397 	1308 	1191 	1091 	1007 	965 	917 	867 	809 	755 	729 	658 	563 	534 	491 	444 	383 	332 	308 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE80,AL	37815 	36944 	36701 	35592 	34882 	34651 	34270 	30956 	30535 	29311 	28205 	27948 	25230 	25137 	25039 	24661 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE80,AM	49868 	47610 	45359 	: 	: 	: 	: 	37480 	35357 	31915 	29529 	26484 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE80,AT	280295 	280161 	281957 	281599 	281321 	280486 	277554 	274091 	270980 	267316 	263357 	256515 	248023 	238266 	229037 	219665 	206377 	197257 	195657 	202543 	210442 	217999 	220986 	215925 	210516 	204267 	199196 	193389 	188132 	183303 	177499 	171810 	168005 	162234 	158219 	152777 	147166 	142532 	137464 	133779 	129165 	125781 	122515 	118636 	114776 	111748 	109202 	107868 	104968 	102257 	99270 	95815 	93122 	89338 	86811 	83941 	80705 	77757 
NR,F,Y_GE80,AZ	78332 	73111 	68563 	65262 	63180 	59725 	58679 	54187 	59100 	50800 	49700 	47600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE80,BE	400275 	396256 	393669 	386975 	381790 	373951 	363308 	351861 	342395 	333481 	323479 	313039 	302602 	291595 	282243 	272741 	261052 	250216 	249466 	257154 	265375 	271212 	271211 	265483 	260723 	253602 	248414 	242473 	237500 	229452 	227125 	220167 	213222 	203158 	198011 	190170 	177688 	172586 	167596 	162381 	155917 	150926 	147069 	143395 	138457 	133332 	130419 	130504 	128479 	127277 	123959 	121670 	117552 	113677 	111639 	108267 	103967 	103266 
NR,F,Y_GE80,BG	218415 	214522 	212752 	206273 	199869 	193859 	190551 	184718 	180273 	174861 	169854 	161980 	154057 	145044 	137069 	128038 	112379 	106613 	103407 	108835 	120591 	131787 	129680 	121547 	124595 	118318 	116427 	112445 	110659 	107323 	104013 	98995 	101551 	97000 	92959 	88831 	85765 	78316 	78136 	75697 	75047 	73238 	70645 	68936 	70411 	70664 	72200 	69009 	68735 	65895 	65812 	61694 	60698 	56835 	55083 	52914 	49244 	43643 
NR,F,Y_GE80,BY	266289 	258547 	253286 	253079 	253179 	244470 	240103 	: 	224115 	208797 	198705 	186308 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE80,CH	268252 	263690 	260252 	255497 	251640 	247759 	242854 	243296 	238446 	233530 	228826 	223019 	218049 	212807 	208981 	205317 	196119 	191561 	190948 	190610 	190890 	190911 	189849 	185696 	181603 	176813 	172153 	166280 	160721 	154086 	148015 	142468 	136260 	130267 	125653 	120098 	114258 	108828 	103099 	98141 	93138 	88736 	84552 	80686 	77103 	73843 	71070 	69086 	66644 	64853 	62852 	61050 	59208 	56995 	55847 	54302 	51887 	50200 
NR,F,Y_GE80,CY	17276 	16639 	16213 	15683 	15007 	14621 	14254 	13747 	13318 	12909 	12558 	11693 	11455 	11172 	10914 	10713 	10450 	10390 	10299 	10251 	10137 	9854 	9561 	9267 	8889 	8402 	7917 	7462 	7089 	6799 	6527 	6252 	5990 	5716 	5453 	5434 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,Y_GE80,CZ	284006 	281757 	281467 	277816 	274893 	269499 	262845 	254798 	248446 	240350 	232362 	223172 	214653 	204017 	193707 	182305 	171060 	166826 	165388 	174743 	185425 	194872 	200173 	196924 	192006 	186320 	181761 	177600 	172614 	167276 	162651 	158655 	156122 	152754 	149580 	144451 	139957 	138041 	133267 	128504 	123872 	119277 	114307 	110877 	107711 	104424 	100757 	102673 	99640 	96771 	93555 	89819 	86502 	82667 	79591 	77336 	74480 	71353 
NR,F,Y_GE80,DE	3144869 	3041524 	2957907 	2877151 	2878831 	2871189 	2845717 b	2840974 	2798125 	2748895 	2698639 	2638229 	2570408 	2501710 	2448599 	2373444 	2267886 	2163909 	2147875 	2230778 	2324800 	2410229 	2429843 	2372342 	2307223 	2229698 	2173231 	1719179 	1650056 	1576096 	1504506 	1441176 	1384334 	1321671 	1272109 	1214353 	1160821 	1109023 	1060081 	1011821 	965601 	923776 	890055 	853707 	818658 	787475 	756590 	731459 	702989 	682124 	652654 	627324 	598731 	567696 	549821 	527678 	491515 	473087 
NR,F,Y_GE80,DE_TOT	3144869 	3041524 	2957907 	2877151 	2878831 	2871189 	2845717 b	2840974 	2798125 	2748895 	2698639 	2638229 	2570408 	2501710 	2448599 	2373444 	2267886 	2163909 	2147875 	2230778 	2324800 	2410229 	2429843 	2372342 	2307223 	2229698 	2173231 	2107386 	2028585 	1946155 	1866812 	1796879 	1736330 	1666350 	1609807 	1543333 	1482131 	1424339 	1367911 	1311437 	1255994 	1207629 	1170150 	1125452 	1083160 	1047488 	1010304 	980506 	947025 	921716 	882805 	849915 	814805 	780836 	756861 	731447 	630009 	667355 
NR,F,Y_GE80,DK	153619 	151184 	149602 	147811 	147397 	146726 	146518 	146750 	147231 	146931 	147447 	147156 	146336 	145119 	144480 	144609 	142823 	139966 	140158 	138637 	138049 	137424 	137572 	135762 	134426 	132026 	129314 	126487 	122667 	118953 	115567 	111913 	108873 	105251 	102107 	98125 	94483 	91205 	87770 	83939 	79855 	76477 	72967 	69897 	66630 	63961 	60895 	58203 	55700 	53332 	51249 	49904 	47873 	45886 	44378 	42821 	41337 	39668 
NR,F,Y_GE80,EA18	12780822 bp	12520327 p	12313052 b	12032603 	11817295 	11596152 	11327520 b	11030970 	10754150 	10455839 	10156033 	9815553 	9485353 	9131420 	8854508 	8524117 	8132863 	7767188 	7736805 	7876168 	8018646 	8139177 	8096328 	7864112 	7637307 	7351979 	7146532 	6888026 	6638886 	6376934 	6139468 	5923767 	5725610 	5498482 	: 	5104390 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
